Element_GUID,IFC_Type,Floor,Apartment,Trade,Construction_Type,Category,Task_Match_Count,Milestone,Original_MSP_UID,Source,Apartment_Zone,Phase,Status,Trade_Discipline,Percent_Complete,Priority,Weather_Dependent,Duration,Quantity,Responsible_Party,WBS_Code,Task_ID,Predecessor_Task_ID,Successor_Task_ID,Cost_ID,Cost_Code,Cost_Category,Description,Unit_Rate_EUR,Labor_Cost_EUR,Material_Cost_EUR,Budgeted_Cost_EUR,Actual_Cost_EUR,Variance_EUR,Variance_Percent,Committed_Cost_EUR,Forecast_Final_Cost_EUR,Retention_Percent,Retention_Held_EUR,Payment_Status,Currency,Cost_Date,Is_Milestone_Synthetic
3vSAOyJwTEhQMEIJ6D9qRY,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1a49H1hof5wg_s62YvIj$u,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2501ntWb95m8MEJo4qrYny,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1HNUZLqr52MQIS8JLIpeyr,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3yL4PuBWf5GQngGRpOzQj0,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2CVrp1qDn4igzjEOaRy1At,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1c9iYd1ID6_8SdfF0_$1oL,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
3rCiBKKhrDwwbew3HLeWaY,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
24n0GKaSvFeRV3aNSSwJju,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
1OnyTz3nHAl89yfXGn_mxA,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
0dG$USXzf0kfosAbNzx0hZ,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
2ccM307sn8XeBTwsFKE_pR,IFCBEAM,Foundation,,Structural,Wall,Exterior,4,N,,Original,,UITVOERING,In Progress,Structural,75,High,Y,,,Main Contractor - Structural Crew,,,,130,,STR-0,Subcontract,,,,,,,,,,,5,,,EUR,,
